,source,target
0,779436493060251648,919843327
1,779436493060251648,1105425115523645440
2,779436493060251648,128763602
3,779436493060251648,1189333712636395520
4,779436493060251648,1203326547207303168
5,779436493060251648,592369986
6,779436493060251648,1388054725271166976
7,779436493060251648,88780920
8,779436493060251648,1102413102820155393
9,779436493060251648,1129767475
10,779436493060251648,210713176
11,779436493060251648,1299132619574177793
12,779436493060251648,1301203801198809091
13,779436493060251648,63965750
14,779436493060251648,4638760040
15,779436493060251648,412744388
16,1105425115523645440,427055339
17,1105425115523645440,753882290
18,1105425115523645440,48579100
19,1105425115523645440,187969571
20,1105425115523645440,1366165879063388161
21,1105425115523645440,1150175735392493569
22,1105425115523645440,961042571144282112
23,1105425115523645440,96680596
24,1105425115523645440,971428246003814402
25,1105425115523645440,1091124855880114177
26,1105425115523645440,412744388
27,1105425115523645440,2186786529
28,1105425115523645440,1158080894743302149
29,1105425115523645440,1052017322641174528
30,1105425115523645440,1343230950147284996
31,1105425115523645440,128763602
32,1105425115523645440,336285655
33,1105425115523645440,404310074
34,1105425115523645440,1189333712636395520
35,1189333712636395520,128763602
36,1189333712636395520,427055339
37,1189333712636395520,592369986
38,1189333712636395520,1056264018774523904
39,1189333712636395520,3119994833
40,1189333712636395520,82160101
41,1189333712636395520,604594918
42,1203326547207303168,1290446485029638144
43,1203326547207303168,1343230950147284996
44,1203326547207303168,96680596
45,1203326547207303168,971428246003814402
46,1203326547207303168,2186786529
47,1203326547207303168,753882290
48,1203326547207303168,961042571144282112
49,1203326547207303168,1366165879063388161
50,1203326547207303168,1129767475
51,1203326547207303168,3119994833
52,1203326547207303168,1299132619574177793
53,1203326547207303168,4576348574
54,1203326547207303168,134181008
55,1203326547207303168,1056264018774523904
56,1203326547207303168,392210827
57,1203326547207303168,1158080894743302149
58,1203326547207303168,187969571
59,1203326547207303168,48579100
60,1203326547207303168,1243425315566702602
61,1203326547207303168,427055339
62,1203326547207303168,82160101
63,1203326547207303168,4539645036
64,1203326547207303168,987050412434898944
65,1203326547207303168,1091124855880114177
66,1203326547207303168,592369986
67,1388054725271166976,48579100
68,1388054725271166976,392210827
69,1388054725271166976,1150175735392493569
70,1388054725271166976,987050412434898944
71,1388054725271166976,1237116318
72,1102413102820155393,4576348574
73,1102413102820155393,961042571144282112
74,1102413102820155393,604594918
75,1102413102820155393,392210827
76,1102413102820155393,3119994833
77,1102413102820155393,971428246003814402
78,1102413102820155393,96680596
79,1102413102820155393,1052017322641174528
80,1102413102820155393,404310074
81,1299132619574177793,919843327
82,1299132619574177793,210713176
83,1299132619574177793,1243425315566702602
84,1299132619574177793,82160101
85,1299132619574177793,604594918
86,1301203801198809091,919843327
87,1301203801198809091,210713176
88,1301203801198809091,82160101
89,1301203801198809091,3119994833
90,1301203801198809091,1150175735392493569
91,1301203801198809091,4539645036
92,1301203801198809091,4638760040
93,1158080894743302149,919843327
94,1158080894743302149,128763602
95,1158080894743302149,592369986
96,1366165879063388161,919843327
97,1366165879063388161,128763602
98,1366165879063388161,1129767475
99,1091124855880114177,919843327
100,1091124855880114177,128763602
101,1091124855880114177,592369986
102,1091124855880114177,412744388
103,1343230950147284996,919843327
104,1343230950147284996,128763602
105,1343230950147284996,412744388
106,392210827,919843327
107,392210827,1129767475
108,1243425315566702602,919843327
109,1243425315566702602,128763602
110,1243425315566702602,592369986
111,1243425315566702602,88780920
112,1243425315566702602,210713176
113,1150175735392493569,128763602
114,1150175735392493569,592369986
115,971428246003814402,128763602
116,971428246003814402,592369986
117,971428246003814402,1129767475
118,971428246003814402,412744388
119,134181008,919843327
120,134181008,128763602
121,134181008,592369986
122,134181008,1129767475
123,134181008,412744388
124,96680596,128763602
125,96680596,1129767475
126,48579100,919843327
127,48579100,128763602
128,48579100,88780920
129,48579100,412744388
130,1237116318,919843327
131,1237116318,128763602
132,1237116318,592369986
133,1237116318,4638760040
134,4576348574,919843327
135,4576348574,128763602
136,4576348574,88780920
137,4576348574,412744388
138,187969571,919843327
139,187969571,128763602
140,187969571,1129767475
141,753882290,128763602
142,753882290,592369986
143,753882290,88780920
144,1129767475,336285655
145,1129767475,604594918
146,1129767475,961042571144282112
147,63965750,919843327
148,63965750,210713176
149,63965750,604594918
150,63965750,1290446485029638144
151,63965750,4638760040
152,404310074,919843327
153,404310074,128763602
154,404310074,592369986
155,404310074,412744388
156,592369986,961042571144282112
157,592369986,1052017322641174528
158,592369986,336285655
159,592369986,2186786529
160,592369986,1056264018774523904
161,592369986,4539645036
162,592369986,412744388
163,412744388,427055339
164,412744388,128763602
165,412744388,1290446485029638144
166,412744388,4539645036
167,412744388,2186786529
168,412744388,961042571144282112
169,412744388,604594918
170,412744388,336285655
171,412744388,1052017322641174528
172,412744388,3119994833
173,1056264018774523904,919843327
174,1056264018774523904,210713176
175,3119994833,128763602
176,128763602,961042571144282112
177,128763602,2186786529
178,128763602,604594918
179,128763602,4539645036
180,128763602,336285655
181,128763602,987050412434898944
182,128763602,427055339
183,128763602,82160101
184,128763602,88780920
185,210713176,2186786529
186,210713176,1052017322641174528
187,210713176,1290446485029638144
188,210713176,987050412434898944
189,4638760040,987050412434898944
190,427055339,919843327
191,4539645036,919843327
192,987050412434898944,919843327
193,88780920,919843327
194,1290446485029638144,919843327
